head	relation	tail
china	corrects_failure	cuba
china	penalizes_entity	uk
china	failure_type	resolved
poland	prefers_relation	commonbloc1
poland	prefers_relation	reldiplomacy
poland	prefers_relation	relintergovorgs
poland	corrects_failure	israel
poland	penalizes_entity	usa
poland	failure_type	resolved
poland	prefers_relation	dependent
poland	prefers_relation	exports3
poland	prefers_relation	lostterritory
poland	prefers_relation	militaryalliance
poland	prefers_relation	reldiplomacy
poland	prefers_relation	relintergovorgs
poland	prefers_relation	timesincewar
poland	prefers_relation	tourism
poland	corrects_failure	ussr
poland	penalizes_entity	usa
poland	failure_type	resolved
israel	corrects_failure	brazil
israel	penalizes_entity	uk
israel	failure_type	resolved
poland	prefers_relation	commonbloc1
poland	prefers_relation	relintergovorgs
poland	prefers_relation	unweightedunvote
poland	corrects_failure	india
poland	penalizes_entity	usa
poland	failure_type	resolved
burma	prefers_relation	commonbloc2
burma	prefers_relation	exports3
burma	prefers_relation	relexports
burma	corrects_failure	indonesia
burma	penalizes_entity	usa
burma	failure_type	resolved
israel	prefers_relation	accusation
israel	prefers_relation	commonbloc2
israel	prefers_relation	duration
israel	prefers_relation	lostterritory
israel	prefers_relation	militaryactions
israel	prefers_relation	negativecomm
israel	prefers_relation	pprotests
israel	corrects_failure	jordan
israel	penalizes_entity	usa
israel	failure_type	resolved
poland	prefers_relation	commonbloc2
poland	corrects_failure	cuba
poland	penalizes_entity	usa
poland	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	prefers_relation	timesincewar
uk	prefers_relation	unweightedunvote
uk	corrects_failure	egypt
uk	penalizes_entity	usa
uk	failure_type	resolved
brazil	corrects_failure	india
brazil	penalizes_entity	egypt
brazil	failure_type	resolved
india	prefers_relation	commonbloc2
india	prefers_relation	officialvisits
india	corrects_failure	burma
india	penalizes_entity	uk
india	failure_type	resolved
jordan	corrects_failure	indonesia
jordan	penalizes_entity	uk
jordan	failure_type	resolved
egypt	prefers_relation	commonbloc1
egypt	corrects_failure	poland
egypt	penalizes_entity	uk
egypt	failure_type	resolved
cuba	prefers_relation	commonbloc1
cuba	prefers_relation	embassy
cuba	prefers_relation	independence
cuba	corrects_failure	egypt
cuba	penalizes_entity	usa
cuba	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	prefers_relation	timesincewar
uk	prefers_relation	unweightedunvote
uk	corrects_failure	egypt
uk	penalizes_entity	usa
uk	failure_type	resolved
china	prefers_relation	accusation
china	prefers_relation	boycottembargo
china	corrects_failure	ussr
china	penalizes_entity	poland
china	failure_type	resolved
cuba	prefers_relation	commonbloc2
cuba	prefers_relation	relexports
cuba	corrects_failure	china
cuba	penalizes_entity	usa
cuba	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	prefers_relation	militaryactions
uk	prefers_relation	negativebehavior
uk	prefers_relation	warning
uk	corrects_failure	indonesia
uk	penalizes_entity	usa
uk	failure_type	resolved
uk	prefers_relation	conferences
uk	prefers_relation	exports3
uk	prefers_relation	relngo
uk	prefers_relation	timesinceally
uk	prefers_relation	unweightedunvote
uk	corrects_failure	netherlands
uk	penalizes_entity	usa
uk	failure_type	resolved
china	prefers_relation	economicaid
china	prefers_relation	releconomicaid
china	prefers_relation	treaties
china	corrects_failure	indonesia
china	penalizes_entity	ussr
china	failure_type	resolved
china	prefers_relation	commonbloc1
china	corrects_failure	burma
china	penalizes_entity	ussr
china	failure_type	resolved
usa	prefers_relation	commonbloc2
usa	prefers_relation	intergovorgs3
usa	prefers_relation	relexportbooks
usa	prefers_relation	relexports
usa	prefers_relation	relintergovorgs
usa	prefers_relation	relngo
usa	prefers_relation	tourism3
usa	corrects_failure	netherlands
usa	penalizes_entity	ussr
usa	failure_type	resolved
poland	prefers_relation	commonbloc1
poland	prefers_relation	relintergovorgs
poland	prefers_relation	unweightedunvote
poland	corrects_failure	india
poland	penalizes_entity	usa
poland	failure_type	resolved
india	corrects_failure	cuba
india	penalizes_entity	usa
india	failure_type	resolved
cuba	prefers_relation	commonbloc1
cuba	prefers_relation	embassy
cuba	prefers_relation	reldiplomacy
cuba	prefers_relation	unweightedunvote
cuba	corrects_failure	israel
cuba	penalizes_entity	usa
cuba	failure_type	resolved
uk	prefers_relation	commonbloc0
uk	prefers_relation	conferences
uk	corrects_failure	cuba
uk	penalizes_entity	egypt
uk	failure_type	resolved
indonesia	prefers_relation	relngo
indonesia	prefers_relation	relstudents
indonesia	corrects_failure	egypt
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	prefers_relation	militaryactions
uk	prefers_relation	negativebehavior
uk	prefers_relation	warning
uk	corrects_failure	indonesia
uk	penalizes_entity	usa
uk	failure_type	resolved
cuba	prefers_relation	conferences
cuba	prefers_relation	militaryalliance
cuba	prefers_relation	officialvisits
cuba	prefers_relation	reldiplomacy
cuba	corrects_failure	ussr
cuba	penalizes_entity	china
cuba	failure_type	resolved
netherlands	prefers_relation	blockpositionindex
netherlands	prefers_relation	booktranslations
netherlands	prefers_relation	independence
netherlands	prefers_relation	timesinceally
netherlands	prefers_relation	treaties
netherlands	corrects_failure	ussr
netherlands	penalizes_entity	israel
netherlands	failure_type	resolved
brazil	prefers_relation	blockpositionindex
brazil	prefers_relation	commonbloc0
brazil	corrects_failure	cuba
brazil	penalizes_entity	usa
brazil	failure_type	resolved
israel	prefers_relation	commonbloc2
israel	prefers_relation	unweightedunvote
israel	corrects_failure	egypt
israel	penalizes_entity	usa
israel	failure_type	resolved
egypt	prefers_relation	independence
egypt	prefers_relation	reldiplomacy
egypt	corrects_failure	cuba
egypt	penalizes_entity	usa
egypt	failure_type	resolved
netherlands	prefers_relation	commonbloc1
netherlands	prefers_relation	intergovorgs
netherlands	corrects_failure	india
netherlands	penalizes_entity	poland
netherlands	failure_type	resolved
usa	prefers_relation	intergovorgs
usa	prefers_relation	militaryalliance
usa	prefers_relation	negativebehavior
usa	prefers_relation	negativecomm
usa	prefers_relation	pprotests
usa	corrects_failure	indonesia
usa	penalizes_entity	egypt
usa	failure_type	resolved
ussr	prefers_relation	conferences
ussr	prefers_relation	ngoorgs3
ussr	corrects_failure	brazil
ussr	penalizes_entity	usa
ussr	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	commonbloc1
usa	prefers_relation	economicaid
usa	prefers_relation	intergovorgs3
usa	prefers_relation	militaryalliance
usa	prefers_relation	ngoorgs3
usa	prefers_relation	releconomicaid
usa	prefers_relation	relngo
usa	corrects_failure	israel
usa	penalizes_entity	ussr
usa	failure_type	resolved
egypt	prefers_relation	reldiplomacy
egypt	corrects_failure	brazil
egypt	penalizes_entity	usa
egypt	failure_type	resolved
india	corrects_failure	brazil
india	penalizes_entity	usa
india	failure_type	resolved
china	corrects_failure	brazil
china	penalizes_entity	usa
china	failure_type	resolved
burma	corrects_failure	china
burma	penalizes_entity	poland
burma	failure_type	resolved
israel	prefers_relation	commonbloc2
israel	corrects_failure	india
israel	penalizes_entity	uk
israel	failure_type	resolved
indonesia	prefers_relation	dependent
indonesia	prefers_relation	relbooktranslations
indonesia	prefers_relation	relngo
indonesia	prefers_relation	timesincewar
indonesia	corrects_failure	netherlands
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	commonbloc1
usa	prefers_relation	economicaid
usa	prefers_relation	intergovorgs3
usa	prefers_relation	releconomicaid
usa	prefers_relation	weightedunvote
usa	corrects_failure	egypt
usa	penalizes_entity	ussr
usa	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	boycottembargo
usa	prefers_relation	commonbloc1
usa	prefers_relation	embassy
usa	prefers_relation	officialvisits
usa	prefers_relation	releconomicaid
usa	corrects_failure	egypt
usa	penalizes_entity	uk
usa	failure_type	resolved
burma	prefers_relation	commonbloc2
burma	corrects_failure	indonesia
burma	penalizes_entity	uk
burma	failure_type	resolved
egypt	prefers_relation	embassy
egypt	corrects_failure	brazil
egypt	penalizes_entity	uk
egypt	failure_type	resolved
usa	prefers_relation	commonbloc2
usa	prefers_relation	independence
usa	prefers_relation	relintergovorgs
usa	corrects_failure	brazil
usa	penalizes_entity	india
usa	failure_type	resolved
netherlands	prefers_relation	commonbloc1
netherlands	corrects_failure	indonesia
netherlands	penalizes_entity	ussr
netherlands	failure_type	resolved
burma	prefers_relation	booktranslations
burma	prefers_relation	commonbloc1
burma	prefers_relation	ngoorgs3
burma	prefers_relation	relbooktranslations
burma	prefers_relation	timesincewar
burma	corrects_failure	usa
burma	penalizes_entity	india
burma	failure_type	resolved
india	prefers_relation	commonbloc2
india	prefers_relation	pprotests
india	corrects_failure	israel
india	penalizes_entity	uk
india	failure_type	resolved
netherlands	prefers_relation	commonbloc1
netherlands	prefers_relation	intergovorgs
netherlands	prefers_relation	timesinceally
netherlands	prefers_relation	treaties
netherlands	prefers_relation	weightedunvote
netherlands	corrects_failure	india
netherlands	penalizes_entity	usa
netherlands	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	prefers_relation	economicaid
uk	prefers_relation	releconomicaid
uk	corrects_failure	jordan
uk	penalizes_entity	usa
uk	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	intergovorgs3
usa	prefers_relation	timesincewar
usa	corrects_failure	cuba
usa	penalizes_entity	ussr
usa	failure_type	resolved
israel	prefers_relation	commonbloc2
israel	corrects_failure	egypt
israel	penalizes_entity	uk
israel	failure_type	resolved
egypt	prefers_relation	dependent
egypt	prefers_relation	expeldiplomats
egypt	prefers_relation	independence
egypt	prefers_relation	ngoorgs3
egypt	prefers_relation	reldiplomacy
egypt	prefers_relation	severdiplomatic
egypt	prefers_relation	timesincewar
egypt	prefers_relation	unweightedunvote
egypt	corrects_failure	uk
egypt	penalizes_entity	usa
egypt	failure_type	resolved
ussr	prefers_relation	ngoorgs3
ussr	corrects_failure	brazil
ussr	penalizes_entity	usa
ussr	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	intergovorgs3
usa	prefers_relation	timesincewar
usa	corrects_failure	cuba
usa	penalizes_entity	ussr
usa	failure_type	resolved
egypt	prefers_relation	commonbloc2
egypt	prefers_relation	unweightedunvote
egypt	corrects_failure	israel
egypt	penalizes_entity	usa
egypt	failure_type	resolved
china	prefers_relation	intergovorgs3
china	prefers_relation	negativecomm
china	prefers_relation	pprotests
china	prefers_relation	reldiplomacy
china	prefers_relation	relexports
china	corrects_failure	uk
china	penalizes_entity	usa
china	failure_type	resolved
ussr	prefers_relation	blockpositionindex
ussr	prefers_relation	ngo
ussr	corrects_failure	netherlands
ussr	penalizes_entity	uk
ussr	failure_type	resolved
netherlands	prefers_relation	intergovorgs
netherlands	prefers_relation	treaties
netherlands	corrects_failure	india
netherlands	penalizes_entity	egypt
netherlands	failure_type	resolved
cuba	prefers_relation	boycottembargo
cuba	prefers_relation	exports3
cuba	prefers_relation	reldiplomacy
cuba	prefers_relation	unweightedunvote
cuba	corrects_failure	uk
cuba	penalizes_entity	usa
cuba	failure_type	resolved
uk	prefers_relation	timesinceally
uk	prefers_relation	unweightedunvote
uk	corrects_failure	brazil
uk	penalizes_entity	usa
uk	failure_type	resolved
egypt	prefers_relation	commonbloc2
egypt	corrects_failure	burma
egypt	penalizes_entity	usa
egypt	failure_type	resolved
netherlands	prefers_relation	blockpositionindex
netherlands	prefers_relation	booktranslations
netherlands	prefers_relation	intergovorgs
netherlands	prefers_relation	treaties
netherlands	corrects_failure	ussr
netherlands	penalizes_entity	egypt
netherlands	failure_type	resolved
poland	prefers_relation	dependent
poland	prefers_relation	exports3
poland	prefers_relation	lostterritory
poland	prefers_relation	militaryalliance
poland	prefers_relation	reldiplomacy
poland	prefers_relation	relintergovorgs
poland	prefers_relation	timesincewar
poland	prefers_relation	tourism
poland	corrects_failure	ussr
poland	penalizes_entity	usa
poland	failure_type	resolved
israel	prefers_relation	embassy
israel	prefers_relation	intergovorgs3
israel	prefers_relation	ngoorgs3
israel	prefers_relation	weightedunvote
israel	corrects_failure	netherlands
israel	penalizes_entity	usa
israel	failure_type	resolved
jordan	prefers_relation	blockpositionindex
jordan	corrects_failure	usa
jordan	penalizes_entity	egypt
jordan	failure_type	resolved
indonesia	prefers_relation	severdiplomatic
indonesia	corrects_failure	cuba
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
jordan	corrects_failure	brazil
jordan	penalizes_entity	uk
jordan	failure_type	resolved
ussr	prefers_relation	commonbloc2
ussr	prefers_relation	officialvisits
ussr	prefers_relation	reldiplomacy
ussr	corrects_failure	china
ussr	penalizes_entity	usa
ussr	failure_type	resolved
burma	prefers_relation	exports3
burma	prefers_relation	officialvisits
burma	prefers_relation	relexports
burma	corrects_failure	china
burma	penalizes_entity	usa
burma	failure_type	resolved
usa	corrects_failure	israel
usa	penalizes_entity	egypt
usa	failure_type	resolved
india	corrects_failure	egypt
india	penalizes_entity	uk
india	failure_type	resolved
israel	corrects_failure	brazil
israel	penalizes_entity	uk
israel	failure_type	resolved
burma	prefers_relation	blockpositionindex
burma	corrects_failure	ussr
burma	penalizes_entity	uk
burma	failure_type	resolved
indonesia	prefers_relation	commonbloc2
indonesia	prefers_relation	relngo
indonesia	corrects_failure	india
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
usa	prefers_relation	commonbloc2
usa	prefers_relation	exportbooks
usa	prefers_relation	intergovorgs3
usa	prefers_relation	relexportbooks
usa	prefers_relation	relexports
usa	prefers_relation	relintergovorgs
usa	prefers_relation	relngo
usa	prefers_relation	tourism3
usa	corrects_failure	netherlands
usa	penalizes_entity	ussr
usa	failure_type	resolved
israel	prefers_relation	embassy
israel	prefers_relation	unweightedunvote
israel	prefers_relation	weightedunvote
israel	corrects_failure	cuba
israel	penalizes_entity	usa
israel	failure_type	resolved
